id_veiculo,tipo_veiculo,placa_veiculo,descricao_veic
461,Onibus,ICF7X23,Laboriosam amet aliquam earum saepe voluptate.
462,Onibus,OPM9H59,Ipsum repudiandae repellendus officiis.
463,Micro-ônibus,OSZ2S92,Voluptatem minima deleniti iure.
464,Onibus,DFY3O71,Neque corporis harum quibusdam.
465,Onibus,VNR7G51,Eum libero itaque quibusdam quos.
466,Micro-ônibus,EZI0S97,Quia itaque dolore.
467,Van,HDP5J43,Ex temporibus esse aliquam dolor.
468,Onibus,YVA7Z67,Earum rem perferendis.
469,Onibus,LPJ5U75,Repellat iusto placeat.
470,Micro-ônibus,EOL2U15,Asperiores provident vel corrupti necessitatibus soluta labore.
471,Van,LCV6T08,Necessitatibus sed ad.
472,Onibus,MUD1F65,Molestias est placeat minus nihil vitae.
473,Onibus,YET0C68,Beatae molestiae minima velit.
474,Onibus,SUF6Y59,Minima voluptates assumenda.
475,Micro-ônibus,WUJ4B62,Corrupti hic cum expedita pariatur.
476,Onibus,ZYN4X52,Ab praesentium fugit sapiente commodi.
